Index    FREQ              Vmain             VMain2     
313      4.22668614e+03    3.77469645e-01    3.68258273e-01
314      4.24619564e+03    3.77470064e-01    3.68257854e-01
315      4.26579519e+03    3.77470482e-01    3.68257436e-01
316      4.28548520e+03    3.77470897e-01    3.68257021e-01
317      4.30526610e+03    3.77471310e-01    3.68256607e-01
318      4.32513831e+03    3.77471722e-01    3.68256196e-01
319      4.34510224e+03    3.77472131e-01    3.68255786e-01
320      4.36515832e+03    3.77472538e-01    3.68255379e-01
321      4.38530698e+03    3.77472944e-01    3.68254974e-01
322      4.40554864e+03    3.77473347e-01    3.68254570e-01
323      4.42588372e+03    3.77473748e-01    3.68254169e-01
324      4.44631267e+03    3.77474147e-01    3.68253770e-01
325      4.46683592e+03    3.77474544e-01    3.68253372e-01
326      4.48745390e+03    3.77474940e-01    3.68252977e-01
327      4.50816705e+03    3.77475333e-01    3.68252584e-01
328      4.52897580e+03    3.77475724e-01    3.68252193e-01
329      4.54988060e+03    3.77476113e-01    3.68251804e-01
330      4.57088190e+03    3.77476500e-01    3.68251417e-01
331      4.59198013e+03    3.77476885e-01    3.68251032e-01
332      4.61317575e+03    3.77477268e-01    3.68250649e-01
333      4.63446920e+03    3.77477649e-01    3.68250268e-01
334      4.65586094e+03    3.77478028e-01    3.68249889e-01
335      4.67735141e+03    3.77478404e-01    3.68249512e-01
336      4.69894109e+03    3.77478779e-01    3.68249137e-01
337      4.72063041e+03    3.77479152e-01    3.68248764e-01
338      4.74241985e+03    3.77479523e-01    3.68248393e-01
339      4.76430987e+03    3.77479891e-01    3.68248024e-01
340      4.78630092e+03    3.77480258e-01    3.68247658e-01
341      4.80839348e+03    3.77480623e-01    3.68247293e-01
342      4.83058802e+03    3.77480985e-01    3.68246930e-01
343      4.85288500e+03    3.77481346e-01    3.68246570e-01
344      4.87528490e+03    3.77481704e-01    3.68246211e-01
345      4.89778819e+03    3.77482061e-01    3.68245855e-01
346      4.92039536e+03    3.77482415e-01    3.68245500e-01
347      4.94310687e+03    3.77482768e-01    3.68245148e-01
348      4.96592321e+03    3.77483118e-01    3.68244797e-01
349      4.98884487e+03    3.77483466e-01    3.68244449e-01
350      5.01187234e+03    3.77483813e-01    3.68244102e-01
351      5.03500609e+03    3.77484157e-01    3.68243758e-01
352      5.05824662e+03    3.77484499e-01    3.68243415e-01
353      5.08159443e+03    3.77484840e-01    3.68243075e-01
354      5.10505000e+03    3.77485178e-01    3.68242736e-01
355      5.12861384e+03    3.77485514e-01    3.68242400e-01
356      5.15228645e+03    3.77485849e-01    3.68242066e-01
357      5.17606832e+03    3.77486181e-01    3.68241733e-01
358      5.19995997e+03    3.77486511e-01    3.68241403e-01
359      5.22396189e+03    3.77486840e-01    3.68241074e-01
360      5.24807460e+03    3.77487166e-01    3.68240748e-01
361      5.27229861e+03    3.77487491e-01    3.68240423e-01
362      5.29663444e+03    3.77487813e-01    3.68240101e-01
363      5.32108259e+03    3.77488133e-01    3.68239780e-01
364      5.34564359e+03    3.77488452e-01    3.68239462e-01
365      5.37031796e+03    3.77488768e-01    3.68239145e-01
366      5.39510623e+03    3.77489083e-01    3.68238831e-01
367      5.42000890e+03    3.77489396e-01    3.68238518e-01
368      5.44502653e+03    3.77489706e-01    3.68238207e-01
369      5.47015963e+03    3.77490015e-01    3.68237899e-01
370      5.49540874e+03    3.77490322e-01    3.68237592e-01
371      5.52077439e+03    3.77490626e-01    3.68237287e-01
372      5.54625713e+03    3.77490929e-01    3.68236984e-01
373      5.57185749e+03    3.77491230e-01    3.68236683e-01
374      5.59757601e+03    3.77491529e-01    3.68236384e-01
375      5.62341325e+03    3.77491826e-01    3.68236086e-01
376      5.64936975e+03    3.77492122e-01    3.68235791e-01
377      5.67544605e+03    3.77492415e-01    3.68235498e-01
378      5.70164272e+03    3.77492706e-01    3.68235206e-01
379      5.72796031e+03    3.77492996e-01    3.68234917e-01
380      5.75439937e+03    3.77493284e-01    3.68234629e-01
381      5.78096047e+03    3.77493569e-01    3.68234343e-01
382      5.80764418e+03    3.77493853e-01    3.68234059e-01
383      5.83445104e+03    3.77494135e-01    3.68233777e-01
384      5.86138165e+03    3.77494416e-01    3.68233497e-01
385      5.88843655e+03    3.77494694e-01    3.68233218e-01
386      5.91561634e+03    3.77494970e-01    3.68232942e-01
387      5.94292159e+03    3.77495245e-01    3.68232667e-01
388      5.97035287e+03    3.77495518e-01    3.68232394e-01
389      5.99791076e+03    3.77495789e-01    3.68232123e-01
390      6.02559586e+03    3.77496058e-01    3.68231854e-01
391      6.05340875e+03    3.77496325e-01    3.68231586e-01
392      6.08135001e+03    3.77496591e-01    3.68231321e-01
393      6.10942025e+03    3.77496855e-01    3.68231057e-01
394      6.13762005e+03    3.77497117e-01    3.68230795e-01
395      6.16595002e+03    3.77497377e-01    3.68230535e-01
396      6.19441075e+03    3.77497635e-01    3.68230276e-01
397      6.22300285e+03    3.77497892e-01    3.68230019e-01
398      6.25172693e+03    3.77498147e-01    3.68229764e-01
399      6.28058359e+03    3.77498400e-01    3.68229511e-01
400      6.30957344e+03    3.77498651e-01    3.68229260e-01
401      6.33869711e+03    3.77498901e-01    3.68229010e-01
402      6.36795521e+03    3.77499149e-01    3.68228762e-01
403      6.39734835e+03    3.77499395e-01    3.68228516e-01
404      6.42687717e+03    3.77499639e-01    3.68228271e-01
405      6.45654229e+03    3.77499882e-01    3.68228028e-01
406      6.48634434e+03    3.77500123e-01    3.68227787e-01
407      6.51628394e+03    3.77500362e-01    3.68227548e-01
408      6.54636174e+03    3.77500600e-01    3.68227310e-01
409      6.57657837e+03    3.77500836e-01    3.68227074e-01
410      6.60693448e+03    3.77501070e-01    3.68226840e-01
411      6.63743070e+03    3.77501303e-01    3.68226607e-01
412      6.66806769e+03    3.77501534e-01    3.68226376e-01
413      6.69884609e+03    3.77501763e-01    3.68226147e-01
414      6.72976656e+03    3.77501991e-01    3.68225919e-01
415      6.76082975e+03    3.77502217e-01    3.68225693e-01
416      6.79203633e+03    3.77502441e-01    3.68225468e-01
417      6.82338694e+03    3.77502664e-01    3.68225245e-01
418      6.85488226e+03    3.77502885e-01    3.68225024e-01
419      6.88652296e+03    3.77503105e-01    3.68224804e-01
420      6.91830971e+03    3.77503323e-01    3.68224586e-01
421      6.95024318e+03    3.77503539e-01    3.68224370e-01
422      6.98232404e+03    3.77503754e-01    3.68224155e-01
423      7.01455298e+03    3.77503967e-01    3.68223941e-01
424      7.04693069e+03    3.77504179e-01    3.68223730e-01
425      7.07945784e+03    3.77504389e-01    3.68223519e-01
426      7.11213514e+03    3.77504598e-01    3.68223311e-01
427      7.14496326e+03    3.77504805e-01    3.68223103e-01
428      7.17794291e+03    3.77505010e-01    3.68222898e-01
429      7.21107479e+03    3.77505214e-01    3.68222694e-01
430      7.24435960e+03    3.77505417e-01    3.68222491e-01
431      7.27779805e+03    3.77505618e-01    3.68222290e-01
432      7.31139083e+03    3.77505817e-01    3.68222090e-01
433      7.34513868e+03    3.77506015e-01    3.68221892e-01
434      7.37904230e+03    3.77506212e-01    3.68221695e-01
435      7.41310241e+03    3.77506407e-01    3.68221500e-01
436      7.44731974e+03    3.77506600e-01    3.68221307e-01
437      7.48169501e+03    3.77506793e-01    3.68221114e-01
438      7.51622894e+03    3.77506983e-01    3.68220923e-01
439      7.55092228e+03    3.77507173e-01    3.68220734e-01
440      7.58577575e+03    3.77507360e-01    3.68220546e-01
441      7.62079010e+03    3.77507547e-01    3.68220360e-01
442      7.65596607e+03    3.77507732e-01    3.68220174e-01
443      7.69130440e+03    3.77507915e-01    3.68219991e-01
444      7.72680585e+03    3.77508098e-01    3.68219808e-01
445      7.76247117e+03    3.77508279e-01    3.68219627e-01
