Index       FREQ            VM(FIRST)         VM(GATE)           VM(FBK)          VM(DRAIN)          VM(F2)         VM(OUT2_HI_N)  
188      2.37684029e+03    1.97602237e+00    1.92417265e-03    1.98367142e+00    7.45682192e-04    1.51229522e+00    1.71109718e+00
189      2.38781128e+03    1.97602967e+00    1.92436750e-03    1.98368968e+00    7.45693712e-04    1.51518112e+00    1.71436245e+00
190      2.39883292e+03    1.97603681e+00    1.92456419e-03    1.98370777e+00    7.45705239e-04    1.51805681e+00    1.71761617e+00
191      2.40990543e+03    1.97604382e+00    1.92476274e-03    1.98372570e+00    7.45716774e-04    1.52092224e+00    1.72085828e+00
192      2.42102905e+03    1.97605067e+00    1.92496317e-03    1.98374346e+00    7.45728318e-04    1.52377736e+00    1.72408873e+00
193      2.43220401e+03    1.97605738e+00    1.92516549e-03    1.98376106e+00    7.45739871e-04    1.52662212e+00    1.72730745e+00
194      2.44343055e+03    1.97606395e+00    1.92536970e-03    1.98377850e+00    7.45751434e-04    1.52945648e+00    1.73051440e+00
195      2.45470892e+03    1.97607038e+00    1.92557583e-03    1.98379577e+00    7.45763008e-04    1.53228037e+00    1.73370952e+00
196      2.46603934e+03    1.97607667e+00    1.92578389e-03    1.98381289e+00    7.45774594e-04    1.53509376e+00    1.73689275e+00
197      2.47742206e+03    1.97608282e+00    1.92599390e-03    1.98382985e+00    7.45786192e-04    1.53789661e+00    1.74006405e+00
198      2.48885732e+03    1.97608884e+00    1.92620586e-03    1.98384665e+00    7.45797802e-04    1.54068885e+00    1.74322335e+00
199      2.50034536e+03    1.97609473e+00    1.92641979e-03    1.98386330e+00    7.45809427e-04    1.54347046e+00    1.74637062e+00
200      2.51188643e+03    1.97610048e+00    1.92663571e-03    1.98387980e+00    7.45821066e-04    1.54624138e+00    1.74950581e+00
201      2.52348077e+03    1.97610611e+00    1.92685363e-03    1.98389614e+00    7.45832720e-04    1.54900158e+00    1.75262885e+00
202      2.53512863e+03    1.97611160e+00    1.92707356e-03    1.98391233e+00    7.45844390e-04    1.55175102e+00    1.75573972e+00
203      2.54683025e+03    1.97611698e+00    1.92729553e-03    1.98392838e+00    7.45856077e-04    1.55448965e+00    1.75883836e+00
204      2.55858589e+03    1.97612222e+00    1.92751955e-03    1.98394427e+00    7.45867781e-04    1.55721743e+00    1.76192473e+00
205      2.57039578e+03    1.97612735e+00    1.92774563e-03    1.98396002e+00    7.45879503e-04    1.55993433e+00    1.76499879e+00
206      2.58226019e+03    1.97613236e+00    1.92797379e-03    1.98397562e+00    7.45891244e-04    1.56264031e+00    1.76806049e+00
207      2.59417936e+03    1.97613724e+00    1.92820404e-03    1.98399108e+00    7.45903005e-04    1.56533534e+00    1.77110979e+00
208      2.60615355e+03    1.97614201e+00    1.92843641e-03    1.98400640e+00    7.45914786e-04    1.56801937e+00    1.77414666e+00
209      2.61818301e+03    1.97614666e+00    1.92867090e-03    1.98402158e+00    7.45926588e-04    1.57069237e+00    1.77717105e+00
210      2.63026799e+03    1.97615120e+00    1.92890753e-03    1.98403661e+00    7.45938411e-04    1.57335432e+00    1.78018293e+00
211      2.64240876e+03    1.97615563e+00    1.92914633e-03    1.98405151e+00    7.45950258e-04    1.57600517e+00    1.78318226e+00
